model,condition,corruption_type,severity,confidence_type,ece,mce,dece,rmsd,map50,n_predictions,n_bins_populated,map_is_tied_to_raw
rtdetr,gaussian_noise_S3,gaussian_noise,3,raw,0.039417991013363456,0.33674656599760056,0.039417991013363456,0.043482920401193476,0.0,10050,6,False
rtdetr,gaussian_noise_S3,gaussian_noise,3,ts,0.031078442261525036,0.30423204298426615,0.031078442261525036,0.03541613644808937,0.0,10050,5,True
rtdetr,gaussian_noise_S3,gaussian_noise,3,dcn,3.4534823368902355e-13,3.4534823368902355e-13,3.4534823368902355e-13,3.4534823368902355e-13,0.0,10050,1,False
rtdetr,gaussian_noise_S4,gaussian_noise,4,raw,0.03912863948340736,0.3640259951353073,0.03912863948340736,0.043532697757713866,0.0,10050,6,False
rtdetr,gaussian_noise_S4,gaussian_noise,4,ts,0.030806165713363476,0.36327736813810957,0.030806165713363476,0.03571087033965182,0.0,10050,6,True
rtdetr,gaussian_noise_S4,gaussian_noise,4,dcn,1.0019890301449461e-34,1.0019890301449461e-34,1.0019890301449461e-34,1.0019890301449461e-34,0.0,10050,1,False
rtdetr,gaussian_noise_S5,gaussian_noise,5,raw,0.036089134564002354,0.2072611004114151,0.036089134564002354,0.03738198319344949,0.0,10050,4,False
rtdetr,gaussian_noise_S5,gaussian_noise,5,ts,0.028092515709059556,0.15342796781142357,0.028092515709059556,0.029344855180372175,0.0,10050,3,True
rtdetr,gaussian_noise_S5,gaussian_noise,5,dcn,0.0,0.0,0.0,0.0,0.0,10050,1,False
rtdetr,jpeg_compression_S1,jpeg_compression,1,raw,0.007878755707182548,0.4984751343727112,0.04660267074319038,0.02928289652454971,0.8560942450733957,10050,14,False
rtdetr,jpeg_compression_S1,jpeg_compression,1,ts,0.00652290356581016,0.4983532325752275,0.0414493865372361,0.027383156234861008,0.8560942450733957,10050,14,True
rtdetr,jpeg_compression_S1,jpeg_compression,1,dcn,0.10560550614354726,0.6687650843100114,0.12351525073340089,0.20077147811353258,0.8871032343880205,10050,15,False
rtdetr,jpeg_compression_S2,jpeg_compression,2,raw,0.009477769799752908,0.3378604512948256,0.046072247663318217,0.031686902686905424,0.8770741990428905,10050,14,False
rtdetr,jpeg_compression_S2,jpeg_compression,2,ts,0.007152753891369413,0.39745431485905397,0.040837365747895676,0.029788252887503253,0.8770741990428905,10050,14,True
rtdetr,jpeg_compression_S2,jpeg_compression,2,dcn,0.10034415803938529,0.772167135839877,0.1203950998244136,0.1950501619053173,0.8893799026589525,10050,15,False
rtdetr,jpeg_compression_S3,jpeg_compression,3,raw,0.00875657123522787,0.6380658149719238,0.04723225604617663,0.03116536284069916,0.8558971598779224,10050,14,False
rtdetr,jpeg_compression_S3,jpeg_compression,3,ts,0.006855775872945922,0.6302341180042037,0.041950044656063196,0.027134529594639144,0.8558971598779224,10050,14,True
rtdetr,jpeg_compression_S3,jpeg_compression,3,dcn,0.0938117477887338,0.781239043263828,0.11574861283253705,0.1879084950700128,0.8680456813711148,10050,15,False
rtdetr,jpeg_compression_S4,jpeg_compression,4,raw,0.010349795939122783,0.43489917119344074,0.04736042908346512,0.03516969553168888,0.8315186201253584,10050,14,False
rtdetr,jpeg_compression_S4,jpeg_compression,4,ts,0.008800113756771229,0.4297558301143844,0.042053845353634094,0.032826789284721866,0.8315186201253584,10050,14,True
rtdetr,jpeg_compression_S4,jpeg_compression,4,dcn,0.06881606331165432,0.7884014121123722,0.0941205064738855,0.16056241597890256,0.8182203258354381,10050,15,False
rtdetr,jpeg_compression_S5,jpeg_compression,5,raw,0.00988575709969806,0.29187019666035974,0.04646815803129021,0.02880197879350212,0.7117532081123161,10050,14,False
rtdetr,jpeg_compression_S5,jpeg_compression,5,ts,0.005686539128026541,0.3619179859460639,0.04117276667916057,0.026024282514057823,0.7117532081123161,10050,14,True
rtdetr,jpeg_compression_S5,jpeg_compression,5,dcn,0.037774240094304475,0.6214490922597737,0.06510566038623321,0.10902173845669927,0.6944927617107859,10050,15,False
rtdetr,motion_blur_S1,motion_blur,1,raw,0.030543560620110058,0.29711523652076716,0.058909397384578094,0.049867679887787085,0.501975384409324,10050,13,False
rtdetr,motion_blur_S1,motion_blur,1,ts,0.023283378794555217,0.2702265753165221,0.051686729182355756,0.045573292190953185,0.501975384409324,10050,14,True
rtdetr,motion_blur_S1,motion_blur,1,dcn,0.04545811562779852,0.7061824887990951,0.060598150284904145,0.14494430009768422,0.2605230836025372,10050,15,False
rtdetr,motion_blur_S2,motion_blur,2,raw,0.020911816534498213,0.40484376387162646,0.06055494889260191,0.044670404972606104,0.15678275212720083,10050,13,False
rtdetr,motion_blur_S2,motion_blur,2,ts,0.013881468312895395,0.4214912509561607,0.053777813435036854,0.04166688962739883,0.15678275212720083,10050,13,True
rtdetr,motion_blur_S2,motion_blur,2,dcn,0.040727329097701964,0.8073518366183875,0.0537833349227189,0.12590548561130516,0.1126363083444811,10050,15,False
rtdetr,motion_blur_S3,motion_blur,3,raw,0.02464959741583956,0.3282668888568878,0.055175662066657735,0.0430065293122321,0.19020136436800966,10050,13,False
rtdetr,motion_blur_S3,motion_blur,3,ts,0.017802446460721467,0.5738627660385744,0.0484032301608098,0.041328391874781135,0.19020136436800966,10050,13,True
rtdetr,motion_blur_S3,motion_blur,3,dcn,0.038581100037582305,0.857058247236105,0.05042209393744071,0.1280036992252037,0.08102339046502376,10050,15,False
rtdetr,motion_blur_S4,motion_blur,4,raw,0.018319852928681976,0.42986462513605755,0.05986570557380158,0.04166889344477868,0.15886989459249315,10050,13,False
rtdetr,motion_blur_S4,motion_blur,4,ts,0.011493054025959747,0.3920102126327284,0.05332035765733281,0.038876128008222356,0.15886989459249315,10050,14,True
rtdetr,motion_blur_S4,motion_blur,4,dcn,0.042969157976266964,0.8219096863269806,0.05606377156077697,0.12995229086043594,0.11372751357974817,10050,15,False
rtdetr,motion_blur_S5,motion_blur,5,raw,0.01945960030163551,0.5959561228752136,0.05322354876932071,0.05076792550923895,0.03368587172057759,10050,12,False
rtdetr,motion_blur_S5,motion_blur,5,ts,0.01288157760221042,0.8029403829498823,0.04692943734325902,0.04831955580493916,0.03368587172057759,10050,13,True
rtdetr,motion_blur_S5,motion_blur,5,dcn,0.03310086650583237,0.8424775004386902,0.041076795611161246,0.10955848433949403,0.022730900725615386,10050,15,False
